identyfikator;nazwisko;imiê;data ur;kod pocztowy;miasto;ulica;nr domu;telefon
1;Kowalski;Jan;1978-09-01;85791;Bydgoszcz;Toruñska;123;600034021
2;Zawada;Karolina;1972-03-16;87800;W³oc³awek;Bydgoska;45;345345345
3;Karolak;Zdzis³aw;1949-06-12;87167;Toruñ;Bydgoska;67;234234234
4;Wójt;Ma³gorzata;1990-12-12;85876;Bydgoszcz;Jagielloñska;10;897897897
5;Nowak;Monika;1991-04-01;88100;Inowroc³aw;Gdañska;87;567567567
6;Król;Wojciech;1975-03-21;87107;Toruñ;S³owackiego;15;678987456
7;Ignaszewski;Maciej;1982-11-11;87801;W³oc³awek;Toruñska;17;975874652
8;¯ukowska;Elzbieta;1978-09-02;85876;Bydgoszcz;Szczeciñska;2;918297231
9;Bia³ek;Marcin;1972-03-17;87802;W³oc³awek;Handlowa;4;994302211
10;Broniewski;Tomasz;1949-05-23;87102;Toruñ;Warszawska;17;107030719
11;Sikorski;Aleksander;1985-02-13;85886;Bydgoszcz;Zamkowa;123;463111217
12;Pawlak;Alicja;1991-04-02;88100;Inowroc³aw;Wycieczkowa;45;122231715
13;Wojcieszak;Malgorzata;1975-03-22;87105;Toruñ;Pi³sudskiego;87;983221312
14;Kula;Anna;1982-11-12;87802;W³oc³awek;Slowackiego;56;137432711
15;Bajtek;Renata;1978-09-03;85885;Bydgoszcz;Podzamcze;2;145033209
16;Krasik;Damian;1972-03-18;87800;W³oc³awek;Krzywoustego;23;526337071
17;Haker;Grzegorz;1949-06-14;87100;Toruñ;Szkolna;92;602314205
18;Bachowska;Daniel;1984-12-14;85871;Bydgoszcz;Gdañska;4;783416703
19;Lipiñski;Wojciech;1991-04-03;88100;Inowroc³aw;Fromborska;23;
20;Piekarski;Daniel;1975-03-23;87112;Toruñ;Zaœwiat;16;183035699
21;Abacka;Sylwia;1982-11-13;87803;W³oc³awek;Morska;7;190636197
22;Olszewska;Agnieszka;1978-09-04;85896;Bydgoszcz;Zabawna;55;198236695
23;Wojtuniecki;Marcin;1972-03-19;87800;W³oc³awek;Ga³czyñskiego;5;205837193
24;Przyby³a;Marek;1949-06-15;87108;Toruñ;Gnieznienska;17;213437691
25;Olbrychska;Magdalena;1979-02-15;85776;Bydgoszcz;Wolnoœci;2;221038189
26;Pawaluk;Zofia;1991-04-04;88100;Inowroc³aw;Staszica;90;228638687
27;Batory;Malgorzata;1975-03-24;87111;Toruñ;Chopina;23;236239185
28;Sikorska;Karolina;1982-11-14;87810;W³oc³awek;Kopalna;1;243839683
29;Szczukowska;Anna;1978-09-05;85845;Bydgoszcz;Bernardyñska;67;251440181
30;Zatorski;Fryderyk;1972-03-20;87805;W³oc³awek;Bajkowa;12;259040679
31;Banasik;Karol;1949-06-16;87122;Toruñ;Gdañska;45;266641177
32;Sawicki;Marek;1953-08-16;85826;Bydgoszcz;11 listopada;92;274241675
33;Jachimow;Robert;1991-04-05;88100;Inowroc³aw;Poznañska;12;424167527
34;Mak³owicz;Agata;1975-03-25;87145;Toruñ;Ba³tycka;3;289442671
35;Kowal;Agata;1982-11-15;87804;W³oc³awek;Po³czyñska;13;297043169
36;Afanasjew;Alicja;1978-09-06;85813;Bydgoszcz;Swarzewska;27;304643667
37;Kowalewicz;Karol;1972-03-21;87805;W³oc³awek;Krakowska;3;312244165
38;Kwaœniewski;Dominik;1949-06-17;87137;Toruñ;Lubelska;15;319844664
39;Bukowska;Zofia;1966-12-17;85872;Bydgoszcz;Wêgielna;8;327445162
40;Zakolska;Anna;1991-04-06;88100;Inowroc³aw;Wyzwolenia;9;424167537
41;Lewkowicz;Agnieszka;1969-08-25;87108;Toruñ;Spacerowa;4;975874652
42;Piotrowski;Gustaw;1991-10-10;85776;Bydgoszcz;Wolnoœci;9;918297231
43;Grochola;Kinga;1991-03-14;88100;Inowroc³aw;Kopernika;12;335045660
44;Kaczmarek;Michal;1977-07-20;87802;W³oc³awek;Powstañców;90;585045660
45;Wachowski;Piotr;1959-06-15;85885;Bydgoszcz;Wojenna;3;281842173
46;Kubiak;Milena;1979-02-15;87802;W³oc³awek;Zakole;22;175435201
47;Chmielewski;Damian;1991-04-04;88100;Inowroc³aw;Narutowicza;1;274241675
48;Wojak;Renata;1975-03-24;87802;W³oc³awek;Klasztorna;77;424167527
49;Trojanowski;Przemyslaw;1982-01-14;85872;Bydgoszcz;Groszkowa;12;289442671
50;Baltazar;Anna;1978-09-25;87802;W³oc³awek;Koœciuszki;56;297043169
51;Arciszewski;Krzysztof;1978-03-20;85872;Bydgoszcz;Akacjowa;92;304643667
52;Staszak;Jaroslaw;1965-12-24;88100;Inowroc³aw;Grabowa;23;512244165
53;Krauze;Patrycja;1986-11-14;87108;Toruñ;Chopina;67;319847664
54;Staniszak;Marta;1988-09-12;85872;Bydgoszcz;Topolowa;12;427445162
55;Lisiak;Wojciech;1978-03-24;88100;Inowroc³aw;Topazowa;45;274241611
56;Kubiak;Katarzyna;1975-03-29;87802;W³oc³awek;Newtona;45;424197527
57;Wasilewska;Agnieszka;1982-01-30;87108;Toruñ;Skalista;92;289942671
58;Wokulski;Grzegorz;1978-04-25;88100;Inowroc³aw;Gnieznienska;67;697043169
59;Kubiak;Jan;1990-03-20;85872;Bydgoszcz;Polna;12;604643667
60;Potocka;Ewelina;1980-06-23;85873;Bydgoszcz;Wiœlana;13;694649967
